62,63,64,65,66,67;80,81,82,83,84,85,86,87,88,89,90,91,92,93,94
79,80,81,82,83,84,85,86;84,85,86,87,88,89,90,91,92,93,94,95,96,97
82,83,84,85,86,87,88,89;63,64,65,66,67,68,69,70,71
57,58,59,60,61,62,63,64,65,66;63,64,65,66,67,68,69,70,71,72,73
71,72,73,74,75,76,77,78,79;69,70,71,72,73,74
80,81,82,83,84,85,86,87,88,89,90,91;59,60,61,62,63
65,66,67,68,69,70,71,72,73,74;97,98,99,100,101,102,103,104,105,106,107
9,10,11;11,12,13
83,84,85,86,87,88,89,90,91,92,93;87,88,89,90,91,92,93,94,95,96
71,72,73,74,75,76,77,78,79,80,81,82;87,88,89,90,91,92,93,94,95,96,97,98,99,100,101
1,2,3,4;3,4,5,6
69,70,71,72,73,74,75;52,53,54,55,56,57,58,59,60,61,62,63,64,65
55,56,57,58,59,60;57,58,59,60,61,62
98,99,100,101,102,103,104,105,106,107,108,109,110;78,79,80,81,82,83
55,56,57,58,59,60,61,62,63;81,82,83,84,85,86,87
92,93,94,95,96,97,98;67,68,69,70,71,72,73,74,75,76,77,78,79,80
9,10,11;33,34,35
57,58,59,60,61,62;91,92,93,94,95,96,97,98,99,100,101,102,103,104,105
96,97,98,99,100,101,102,103,104;88,89,90,91,92,93,94,95,96,97,98,99,100
20,25,36,45,89;25,36,77,88,98
